job,marital,education,default,housing,loan,contact,month,day_of_week,poutcome,target
management,unknown,university.degree,no,yes,no,telephone,may,mon,nonexistent,0
entrepreneur,married,high.school,no,yes,no,telephone,may,mon,nonexistent,0
admin.,single,professional.course,no,no,no,telephone,may,mon,nonexistent,0
admin.,married,university.degree,no,no,yes,telephone,may,mon,nonexistent,0
admin.,married,university.degree,unknown,yes,no,telephone,may,mon,nonexistent,0
technician,single,professional.course,unknown,no,no,telephone,may,mon,nonexistent,0
admin.,married,university.degree,no,yes,yes,telephone,may,mon,nonexistent,0
blue-collar,married,basic.9y,no,no,yes,telephone,may,mon,nonexistent,0
admin.,married,university.degree,no,yes,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,nonexistent,0
admin.,married,high.school,no,no,no,telephone,may,mon,nonexistent,0
housemaid,married,basic.4y,no,no,yes,telephone,may,mon,nonexistent,0
admin.,married,high.school,no,no,no,telephone,may,mon,nonexistent,0
admin.,single,professional.course,no,no,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,nonexistent,0
technician,married,professional.course,unknown,yes,no,telephone,may,mon,nonexistent,0
management,married,university.degree,unknown,no,yes,telephone,may,mon,nonexistent,0
services,married,high.school,unknown,yes,no,telephone,may,mon,nonexistent,0
unemployed,married,professional.course,unknown,yes,yes,telephone,may,mon,nonexistent,0
technician,single,university.degree,no,yes,no,telephone,may,mon,nonexistent,0
entrepreneur,married,university.degree,unknown,no,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.6y,unknown,no,no,telephone,may,mon,nonexistent,0
admin.,married,high.school,no,no,no,telephone,may,mon,nonexistent,0
admin.,married,university.degree,no,no,no,telephone,may,mon,nonexistent,0
blue-collar,single,basic.9y,no,yes,no,telephone,may,mon,nonexistent,0
admin.,married,unknown,no,yes,no,telephone,may,mon,nonexistent,0
admin.,married,basic.9y,no,yes,no,telephone,may,mon,nonexistent,0
blue-collar,single,basic.4y,unknown,yes,yes,telephone,may,mon,nonexistent,0
management,married,basic.6y,no,no,no,telephone,may,mon,nonexistent,0
management,divorced,university.degree,no,yes,no,telephone,may,mon,nonexistent,0
admin.,married,university.degree,unknown,yes,no,telephone,may,mon,nonexistent,0
unknown,married,unknown,unknown,no,no,telephone,may,mon,nonexistent,0
admin.,married,university.degree,unknown,yes,no,telephone,may,mon,nonexistent,0
blue-collar,divorced,basic.4y,unknown,yes,no,telephone,may,mon,nonexistent,1
technician,married,university.degree,no,no,no,telephone,may,mon,nonexistent,0
services,married,high.school,unknown,yes,no,telephone,may,mon,nonexistent,0
management,married,unknown,unknown,yes,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.4y,unknown,unknown,unknown,telephone,may,mon,nonexistent,0
admin.,married,high.school,unknown,no,no,telephone,may,mon,nonexistent,0
entrepreneur,married,university.degree,unknown,yes,no,telephone,may,mon,nonexistent,1
technician,single,university.degree,no,no,yes,telephone,may,mon,nonexistent,0
admin.,divorced,high.school,no,no,no,telephone,may,mon,nonexistent,0
management,married,basic.6y,no,no,no,telephone,may,mon,nonexistent,0
admin.,married,university.degree,no,yes,yes,telephone,may,mon,nonexistent,0
technician,married,basic.9y,no,no,no,telephone,may,mon,nonexistent,1
admin.,married,high.school,no,yes,no,telephone,may,mon,nonexistent,0
admin.,married,university.degree,no,yes,no,telephone,may,mon,nonexistent,0
unknown,married,unknown,unknown,yes,no,telephone,may,mon,nonexistent,0
admin.,married,unknown,unknown,no,yes,telephone,may,mon,nonexistent,0
unemployed,married,basic.9y,no,no,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.6y,no,no,yes,telephone,may,mon,nonexistent,0
services,married,professional.course,no,yes,no,telephone,may,mon,nonexistent,0
management,married,university.degree,no,no,no,telephone,may,mon,nonexistent,0
admin.,divorced,university.degree,unknown,no,no,telephone,may,mon,nonexistent,0
technician,single,professional.course,no,no,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.6y,no,no,no,telephone,may,mon,nonexistent,0
services,married,unknown,no,yes,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.4y,no,no,no,telephone,may,mon,nonexistent,0
services,married,unknown,no,no,no,telephone,may,mon,nonexistent,0
admin.,divorced,university.degree,no,no,no,telephone,may,mon,nonexistent,0
admin.,divorced,university.degree,no,no,no,telephone,may,mon,nonexistent,0
services,single,high.school,unknown,no,no,telephone,may,mon,nonexistent,0
housemaid,married,basic.6y,no,yes,no,telephone,may,mon,nonexistent,0
admin.,married,high.school,no,yes,no,telephone,may,mon,nonexistent,0
entrepreneur,married,unknown,unknown,yes,no,telephone,may,mon,nonexistent,0
technician,married,unknown,unknown,yes,yes,telephone,may,mon,nonexistent,0
retired,divorced,university.degree,unknown,no,no,telephone,may,mon,nonexistent,0
unemployed,married,basic.4y,unknown,no,no,telephone,may,mon,nonexistent,0
services,divorced,high.school,no,yes,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,nonexistent,0
management,married,university.degree,no,no,no,telephone,may,mon,nonexistent,0
blue-collar,married,high.school,no,no,no,telephone,may,mon,nonexistent,0
admin.,divorced,university.degree,no,no,no,telephone,may,mon,nonexistent,0
blue-collar,divorced,unknown,unknown,yes,no,telephone,may,mon,nonexistent,0
admin.,married,unknown,no,yes,no,telephone,may,mon,nonexistent,0
blue-collar,divorced,basic.4y,unknown,yes,no,telephone,may,mon,nonexistent,0
blue-collar,married,high.school,unknown,yes,no,telephone,may,mon,nonexistent,0
blue-collar,divorced,high.school,no,no,no,telephone,may,mon,nonexistent,0
services,married,high.school,no,no,no,telephone,may,mon,nonexistent,0
technician,married,high.school,no,yes,no,telephone,may,mon,nonexistent,0
admin.,married,university.degree,no,yes,yes,telephone,may,mon,nonexistent,0
admin.,married,university.degree,no,no,yes,telephone,may,mon,nonexistent,0
admin.,married,basic.6y,no,no,no,telephone,may,mon,nonexistent,0
technician,divorced,professional.course,no,yes,yes,telephone,may,mon,nonexistent,0
retired,married,basic.4y,no,yes,no,telephone,may,mon,nonexistent,0
technician,married,professional.course,unknown,yes,no,telephone,may,mon,nonexistent,1
blue-collar,married,basic.6y,no,yes,yes,telephone,may,mon,nonexistent,0
technician,married,professional.course,unknown,no,no,telephone,may,mon,nonexistent,0
blue-collar,married,unknown,no,yes,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,nonexistent,0
management,married,university.degree,no,no,no,telephone,may,mon,nonexistent,0
management,divorced,university.degree,no,no,no,telephone,may,mon,nonexistent,0
housemaid,married,basic.4y,unknown,no,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,nonexistent,0
services,married,high.school,no,yes,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,nonexistent,1
unemployed,single,university.degree,no,yes,no,telephone,may,mon,nonexistent,0
management,married,unknown,no,yes,no,telephone,may,mon,nonexistent,0
management,married,university.degree,no,yes,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,nonexistent,0
unknown,divorced,high.school,unknown,yes,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,nonexistent,0
admin.,single,high.school,no,yes,no,telephone,may,mon,nonexistent,0
admin.,married,university.degree,unknown,yes,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,nonexistent,0
entrepreneur,married,unknown,unknown,yes,no,telephone,may,mon,nonexistent,0
services,divorced,high.school,unknown,yes,no,telephone,may,mon,nonexistent,0
entrepreneur,married,unknown,unknown,no,no,telephone,may,mon,nonexistent,0
blue-collar,married,unknown,no,yes,yes,telephone,may,mon,nonexistent,0
blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,nonexistent,0
blue-collar,married,unknown,unknown,yes,no,telephone,may,mon,nonexistent,0
blue-collar,married,unknown,unknown,no,no,telephone,may,mon,nonexistent,0
technician,single,professional.course,no,yes,no,telephone,may,mon,nonexistent,0
services,married,high.school,no,no,no,telephone,may,mon,nonexistent,0
management,single,university.degree,no,yes,no,telephone,may,mon,nonexistent,0
blue-collar,single,basic.9y,unknown,yes,yes,telephone,may,mon,nonexistent,0
blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,nonexistent,0
services,divorced,high.school,unknown,no,no,telephone,may,mon,nonexistent,0
entrepreneur,married,basic.6y,no,no,no,telephone,may,mon,nonexistent,0
services,married,high.school,no,yes,yes,telephone,may,mon,nonexistent,0
admin.,divorced,unknown,unknown,no,no,telephone,may,mon,nonexistent,0
blue-collar,married,unknown,no,no,no,telephone,may,mon,nonexistent,0
management,divorced,university.degree,no,yes,no,telephone,may,mon,nonexistent,0
blue-collar,married,high.school,unknown,no,yes,telephone,may,mon,nonexistent,0
services,married,high.school,unknown,no,no,telephone,may,mon,nonexistent,0
technician,married,university.degree,no,yes,yes,telephone,may,mon,nonexistent,0
admin.,single,university.degree,unknown,no,no,telephone,may,mon,nonexistent,0
services,married,high.school,no,no,no,telephone,may,mon,nonexistent,0
management,married,basic.9y,no,no,no,telephone,may,mon,nonexistent,0
services,married,high.school,no,yes,yes,telephone,may,mon,nonexistent,0
admin.,single,basic.6y,no,no,no,telephone,may,mon,nonexistent,0
services,married,high.school,no,yes,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.9y,no,no,no,telephone,may,mon,nonexistent,0
technician,married,high.school,no,no,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,nonexistent,1
admin.,married,university.degree,no,yes,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,nonexistent,0
management,married,university.degree,no,no,no,telephone,may,mon,nonexistent,0
technician,married,basic.6y,unknown,no,no,telephone,may,mon,nonexistent,0
retired,married,high.school,unknown,no,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,nonexistent,0
admin.,married,university.degree,no,yes,no,telephone,may,mon,nonexistent,0
technician,married,professional.course,no,no,no,telephone,may,mon,nonexistent,0
blue-collar,single,basic.9y,no,yes,no,telephone,may,mon,nonexistent,0
management,divorced,university.degree,no,no,no,telephone,may,mon,nonexistent,0
technician,married,university.degree,no,no,no,telephone,may,mon,nonexistent,0
blue-collar,single,basic.9y,unknown,yes,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,nonexistent,0
admin.,married,high.school,unknown,yes,no,telephone,may,mon,nonexistent,0
blue-collar,single,basic.9y,unknown,no,no,telephone,may,mon,nonexistent,0
admin.,married,basic.9y,unknown,yes,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,nonexistent,0
services,married,high.school,no,no,no,telephone,may,mon,nonexistent,0
services,single,basic.6y,no,no,no,telephone,may,mon,nonexistent,0
blue-collar,married,high.school,no,yes,no,telephone,may,mon,nonexistent,0
admin.,married,unknown,no,no,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,nonexistent,0
student,single,university.degree,unknown,no,no,telephone,may,mon,nonexistent,0
student,single,university.degree,unknown,yes,yes,telephone,may,mon,nonexistent,0
unemployed,married,professional.course,no,no,no,telephone,may,mon,nonexistent,0
services,single,basic.4y,no,no,no,telephone,may,mon,nonexistent,0
student,single,university.degree,unknown,yes,no,telephone,may,mon,nonexistent,0
student,single,basic.9y,no,yes,no,telephone,may,mon,nonexistent,0
housemaid,divorced,university.degree,no,no,no,telephone,may,mon,nonexistent,0
admin.,married,university.degree,no,no,no,telephone,may,mon,nonexistent,0
retired,married,unknown,unknown,no,no,telephone,may,mon,nonexistent,0
blue-collar,married,professional.course,unknown,yes,no,telephone,may,mon,nonexistent,0
housemaid,married,basic.4y,unknown,yes,no,telephone,may,mon,nonexistent,0
blue-collar,single,unknown,no,yes,no,telephone,may,mon,nonexistent,0
blue-collar,single,unknown,no,yes,yes,telephone,may,mon,nonexistent,0
housemaid,married,basic.4y,unknown,no,no,telephone,may,mon,nonexistent,0
services,married,high.school,no,no,no,telephone,may,mon,nonexistent,0
admin.,married,high.school,no,yes,no,telephone,may,mon,nonexistent,0
technician,married,unknown,unknown,no,no,telephone,may,mon,nonexistent,0
services,single,basic.6y,unknown,yes,no,telephone,may,mon,nonexistent,0
technician,married,basic.4y,unknown,yes,no,telephone,may,mon,nonexistent,0
technician,married,basic.9y,no,no,no,telephone,may,mon,nonexistent,0
retired,married,university.degree,no,no,no,telephone,may,mon,nonexistent,0
technician,married,university.degree,no,no,no,telephone,may,mon,nonexistent,0
admin.,single,university.degree,no,no,no,telephone,may,mon,nonexistent,0
retired,married,basic.4y,unknown,no,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.4y,no,yes,yes,telephone,may,mon,nonexistent,0
admin.,married,professional.course,no,yes,no,telephone,may,mon,nonexistent,0
services,divorced,professional.course,no,yes,no,telephone,may,mon,nonexistent,0
management,divorced,basic.4y,unknown,yes,no,telephone,may,mon,nonexistent,0
admin.,married,high.school,unknown,no,no,telephone,may,mon,nonexistent,0
self-employed,married,university.degree,unknown,no,no,telephone,may,mon,nonexistent,0
admin.,married,professional.course,no,yes,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.4y,no,no,no,telephone,may,mon,nonexistent,0
admin.,married,high.school,no,no,no,telephone,may,mon,nonexistent,0
services,married,high.school,unknown,no,yes,telephone,may,mon,nonexistent,0
management,married,university.degree,unknown,no,yes,telephone,may,mon,nonexistent,0
retired,married,high.school,no,no,no,telephone,may,mon,nonexistent,0
technician,single,professional.course,no,no,no,telephone,may,mon,nonexistent,0
management,married,university.degree,no,yes,no,telephone,may,mon,nonexistent,0
services,single,basic.9y,no,no,no,telephone,may,mon,nonexistent,0
technician,married,university.degree,unknown,no,no,telephone,may,mon,nonexistent,0
services,divorced,unknown,no,no,no,telephone,may,mon,nonexistent,0
technician,single,professional.course,no,no,no,telephone,may,mon,nonexistent,0
technician,single,high.school,no,yes,no,telephone,may,mon,nonexistent,0
blue-collar,single,high.school,no,no,yes,telephone,may,mon,nonexistent,0
services,single,high.school,no,no,no,telephone,may,mon,nonexistent,0
technician,divorced,professional.course,no,no,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,nonexistent,0
services,married,basic.6y,no,yes,no,telephone,may,mon,nonexistent,0
technician,married,professional.course,no,yes,no,telephone,may,mon,nonexistent,0
services,married,unknown,no,no,no,telephone,may,mon,nonexistent,0
services,married,high.school,no,yes,yes,telephone,may,mon,nonexistent,0
blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,nonexistent,0
management,married,basic.9y,no,no,yes,telephone,may,mon,nonexistent,0
technician,married,unknown,no,yes,no,telephone,may,mon,nonexistent,0
admin.,married,high.school,no,no,yes,telephone,may,mon,nonexistent,0
admin.,married,high.school,no,no,yes,telephone,may,mon,nonexistent,0
blue-collar,single,basic.6y,no,unknown,unknown,telephone,may,mon,nonexistent,0
technician,married,high.school,no,no,no,telephone,may,mon,nonexistent,0
admin.,divorced,basic.9y,no,no,no,telephone,may,mon,nonexistent,0
admin.,married,university.degree,no,no,no,telephone,may,mon,nonexistent,0
blue-collar,single,basic.6y,no,no,no,telephone,may,mon,nonexistent,0
self-employed,single,university.degree,no,yes,no,telephone,may,mon,nonexistent,0
student,single,university.degree,unknown,no,no,telephone,may,mon,nonexistent,0
management,divorced,university.degree,no,no,no,telephone,may,mon,nonexistent,0
self-employed,married,basic.4y,unknown,no,no,telephone,may,mon,nonexistent,0
unemployed,married,high.school,unknown,yes,no,telephone,may,mon,nonexistent,0
management,divorced,university.degree,no,no,no,telephone,may,mon,nonexistent,0
housemaid,married,basic.9y,unknown,no,no,telephone,may,mon,nonexistent,0
admin.,single,high.school,no,no,no,telephone,may,mon,nonexistent,0
housemaid,single,high.school,unknown,yes,yes,telephone,may,mon,nonexistent,0
blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,nonexistent,0
services,married,high.school,no,no,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,nonexistent,0
technician,single,basic.9y,no,no,no,telephone,may,mon,nonexistent,0
retired,married,professional.course,no,no,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.6y,no,no,no,telephone,may,mon,nonexistent,0
technician,married,basic.4y,no,yes,no,telephone,may,mon,nonexistent,0
admin.,married,basic.9y,no,no,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,nonexistent,0
blue-collar,divorced,basic.9y,no,yes,no,telephone,may,mon,nonexistent,0
blue-collar,divorced,basic.6y,no,no,no,telephone,may,mon,nonexistent,0
housemaid,married,basic.9y,no,yes,no,telephone,may,mon,nonexistent,1
admin.,single,high.school,no,yes,yes,telephone,may,mon,nonexistent,0
blue-collar,married,unknown,unknown,yes,no,telephone,may,mon,nonexistent,0
services,married,high.school,no,no,no,telephone,may,mon,nonexistent,0
management,divorced,university.degree,no,yes,no,telephone,may,mon,nonexistent,0
admin.,married,high.school,no,yes,yes,telephone,may,mon,nonexistent,0
technician,divorced,professional.course,unknown,no,yes,telephone,may,mon,nonexistent,0
blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,nonexistent,0
technician,single,professional.course,no,yes,no,telephone,may,mon,nonexistent,0
self-employed,married,professional.course,no,no,no,telephone,may,mon,nonexistent,0
blue-collar,divorced,high.school,no,no,yes,telephone,may,mon,nonexistent,0
admin.,married,university.degree,no,yes,no,telephone,may,mon,nonexistent,0
services,divorced,high.school,no,no,no,telephone,may,mon,nonexistent,0
unknown,married,unknown,unknown,no,no,telephone,may,mon,nonexistent,0
services,single,high.school,unknown,no,no,telephone,may,mon,nonexistent,0
blue-collar,divorced,high.school,unknown,no,yes,telephone,may,mon,nonexistent,0
retired,married,professional.course,unknown,no,no,telephone,may,mon,nonexistent,0
unknown,married,unknown,no,yes,no,telephone,may,mon,nonexistent,0
admin.,married,high.school,no,yes,no,telephone,may,mon,nonexistent,0
admin.,married,basic.6y,unknown,yes,no,telephone,may,mon,nonexistent,0
blue-collar,married,unknown,unknown,no,no,telephone,may,mon,nonexistent,0
housemaid,divorced,basic.4y,no,yes,yes,telephone,may,mon,nonexistent,0
admin.,married,university.degree,no,yes,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,nonexistent,0
management,divorced,university.degree,no,yes,no,telephone,may,mon,nonexistent,0
admin.,single,university.degree,no,no,no,telephone,may,mon,nonexistent,0
admin.,married,high.school,no,no,no,telephone,may,mon,nonexistent,0
blue-collar,married,professional.course,unknown,yes,no,telephone,may,mon,nonexistent,0
management,married,university.degree,unknown,yes,no,telephone,may,mon,nonexistent,0
admin.,single,basic.9y,unknown,no,no,telephone,may,mon,nonexistent,0
admin.,divorced,high.school,no,no,no,telephone,may,mon,nonexistent,0
retired,married,basic.6y,no,no,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.9y,no,no,no,telephone,may,mon,nonexistent,0
services,married,high.school,no,yes,no,telephone,may,mon,nonexistent,0
management,single,basic.9y,no,yes,no,telephone,may,mon,nonexistent,0
admin.,single,basic.6y,no,yes,yes,telephone,may,mon,nonexistent,0
technician,single,unknown,no,no,no,telephone,may,mon,nonexistent,0
services,married,basic.6y,unknown,no,no,telephone,may,mon,nonexistent,0
technician,married,professional.course,no,yes,yes,telephone,may,mon,nonexistent,0
housemaid,single,professional.course,no,no,no,telephone,may,mon,nonexistent,0
admin.,single,university.degree,no,yes,no,telephone,may,mon,nonexistent,0
admin.,married,high.school,no,no,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,nonexistent,0
admin.,married,high.school,no,no,no,telephone,may,mon,nonexistent,0
services,single,high.school,no,yes,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,nonexistent,0
management,married,high.school,no,yes,no,telephone,may,mon,nonexistent,0
self-employed,single,university.degree,no,no,yes,telephone,may,mon,nonexistent,0
services,married,high.school,unknown,yes,no,telephone,may,mon,nonexistent,0
entrepreneur,married,high.school,no,yes,no,telephone,may,mon,nonexistent,0
technician,single,professional.course,unknown,yes,no,telephone,may,mon,nonexistent,0
blue-collar,single,high.school,no,yes,yes,telephone,may,mon,nonexistent,0
blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,nonexistent,0
management,married,university.degree,unknown,no,no,telephone,may,mon,nonexistent,0
management,married,professional.course,unknown,yes,no,telephone,may,mon,nonexistent,0
services,single,high.school,no,yes,no,telephone,may,mon,nonexistent,0
admin.,married,basic.9y,no,no,no,telephone,may,mon,nonexistent,0
unknown,married,unknown,unknown,yes,no,telephone,may,mon,nonexistent,0
blue-collar,divorced,basic.4y,no,yes,no,telephone,may,mon,nonexistent,0
technician,married,high.school,no,yes,no,telephone,may,mon,nonexistent,0
services,divorced,professional.course,no,no,no,telephone,may,mon,nonexistent,0
blue-collar,single,basic.9y,unknown,yes,no,telephone,may,mon,nonexistent,0
entrepreneur,married,university.degree,no,yes,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.4y,no,no,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.6y,unknown,no,no,telephone,may,mon,nonexistent,0
technician,married,professional.course,no,no,no,telephone,may,mon,nonexistent,0
management,married,university.degree,no,no,no,telephone,may,mon,nonexistent,0
services,married,high.school,no,yes,no,telephone,may,mon,nonexistent,0
admin.,married,university.degree,no,yes,no,telephone,may,mon,nonexistent,0
unemployed,single,university.degree,no,no,no,telephone,may,mon,nonexistent,0
blue-collar,single,high.school,no,no,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.9y,no,no,no,telephone,may,mon,nonexistent,0
services,married,basic.4y,no,no,no,telephone,may,mon,nonexistent,0
entrepreneur,married,basic.4y,no,yes,no,telephone,may,mon,nonexistent,0
unemployed,divorced,high.school,unknown,no,no,telephone,may,tue,nonexistent,0
management,married,university.degree,no,yes,no,telephone,may,tue,nonexistent,0
technician,married,high.school,no,yes,no,telephone,may,tue,nonexistent,0
blue-collar,married,basic.4y,unknown,yes,no,telephone,may,tue,nonexistent,0
admin.,married,university.degree,no,yes,no,telephone,may,tue,nonexistent,0
technician,married,university.degree,no,no,no,telephone,may,tue,nonexistent,0
self-employed,married,high.school,no,yes,no,telephone,may,tue,nonexistent,0
admin.,divorced,basic.9y,no,no,no,telephone,may,tue,nonexistent,0
blue-collar,married,basic.9y,unknown,yes,no,telephone,may,tue,nonexistent,0
management,divorced,high.school,no,no,no,telephone,may,tue,nonexistent,0
blue-collar,married,basic.9y,no,no,no,telephone,may,tue,nonexistent,0
blue-collar,married,basic.9y,no,no,yes,telephone,may,tue,nonexistent,0
admin.,single,high.school,no,yes,no,telephone,may,tue,nonexistent,0
blue-collar,single,basic.9y,no,yes,no,telephone,may,tue,nonexistent,0
services,married,high.school,no,no,no,telephone,may,tue,nonexistent,0
blue-collar,married,unknown,no,no,no,telephone,may,tue,nonexistent,0
technician,married,basic.6y,no,yes,no,telephone,may,tue,nonexistent,0
admin.,single,university.degree,no,no,no,telephone,may,tue,nonexistent,0
admin.,married,basic.9y,no,no,no,telephone,may,tue,nonexistent,0
admin.,married,university.degree,no,yes,yes,telephone,may,tue,nonexistent,0
blue-collar,single,unknown,no,no,no,telephone,may,tue,nonexistent,0
admin.,married,basic.9y,no,yes,no,telephone,may,tue,nonexistent,0
management,single,university.degree,no,no,no,telephone,may,tue,nonexistent,0
student,single,unknown,unknown,no,no,telephone,may,tue,nonexistent,0
management,married,basic.4y,unknown,yes,yes,telephone,may,tue,nonexistent,0
management,married,basic.4y,unknown,unknown,unknown,telephone,may,tue,nonexistent,0
self-employed,married,university.degree,no,no,no,telephone,may,tue,nonexistent,0
housemaid,married,basic.6y,unknown,yes,yes,telephone,may,tue,nonexistent,0
unknown,single,unknown,unknown,yes,yes,telephone,may,tue,nonexistent,1
services,married,high.school,no,yes,no,telephone,may,tue,nonexistent,1
