device_type,os_version,app_usage_pattern,protocol,data_volume,log_type,event,event_description,error_code,file_accessed,process,ioc,target
iPhone,Android 11,Normal,HTTPS,8681,system,App Crash,426,403,/home/user/docs/report.docx,systemd,None,1
iPhone,iOS 14.6,High,HTTP,5958,application,App Crash,635,725,/home/user/docs/report.docx,explorer.exe,None,0
iPhone,iOS 15.0,Normal,FTP,822,system,File Access,222,701,/var/log/syslog,chrome.exe,Pegasus Signature,1
Android,Android 11,Normal,HTTPS,2398,application,App Install,985,674,/var/log/syslog,malware.exe,None,0
Android,Android 10,High,HTTPS,8845,system,App Install,974,341,/tmp/malware.bin,systemd,None,0
iPhone,Android 10,High,FTP,4221,application,App Crash,10,506,/var/log/syslog,chrome.exe,None,1
Android,Android 10,High,FTP,1658,system,App Crash,928,241,/tmp/malware.bin,malware.exe,Pegasus Signature,1
iPhone,iOS 15.0,Normal,HTTPS,1788,application,App Install,662,414,/var/log/syslog,malware.exe,None,0
Android,iOS 14.6,High,HTTPS,4216,system,App Crash,637,689,/home/user/docs/report.docx,malware.exe,Pegasus Signature,1
iPhone,iOS 15.0,Low,HTTP,3670,security,Login,269,754,/var/log/syslog,explorer.exe,Known Malicious IP,1
Android,iOS 14.6,Low,SSH,8131,security,System Update,669,376,/var/log/syslog,chrome.exe,Known Malicious IP,1
iPhone,iOS 15.0,High,FTP,3584,system,App Crash,8,753,/var/log/syslog,explorer.exe,None,1
Android,iOS 15.0,High,FTP,3993,system,App Crash,487,663,/var/log/syslog,systemd,Pegasus Signature,0
Android,iOS 14.6,Normal,HTTPS,3924,security,App Install,224,659,/tmp/malware.bin,chrome.exe,Known Malicious IP,1
Android,iOS 14.6,High,HTTPS,9624,security,App Crash,556,414,/var/log/syslog,chrome.exe,Known Malicious IP,1
iPhone,iOS 14.6,Normal,SSH,2823,system,App Install,612,523,/home/user/docs/report.docx,explorer.exe,Pegasus Signature,1
Android,Android 11,Normal,SSH,2155,system,App Crash,617,984,/var/log/syslog,explorer.exe,None,0
iPhone,Android 10,Normal,FTP,5699,system,App Crash,439,354,/home/user/docs/report.docx,chrome.exe,None,1
Android,Android 10,Low,HTTPS,2521,application,File Access,302,759,/tmp/malware.bin,systemd,Known Malicious IP,1
iPhone,iOS 15.0,Normal,HTTP,9052,system,Logout,430,168,/home/user/docs/report.docx,explorer.exe,Known Malicious IP,1
iPhone,iOS 15.0,High,FTP,5253,security,Logout,925,605,/tmp/malware.bin,malware.exe,Known Malicious IP,0
iPhone,Android 10,High,HTTP,5826,application,App Install,23,790,/tmp/malware.bin,explorer.exe,Known Malicious IP,1
Android,iOS 14.6,Low,FTP,143,system,File Access,825,504,/var/log/syslog,systemd,None,1
Android,Android 10,Low,FTP,9685,system,File Access,861,371,/home/user/docs/report.docx,malware.exe,None,1
Android,Android 10,High,FTP,2735,security,App Install,48,811,/tmp/malware.bin,chrome.exe,Pegasus Signature,1
iPhone,Android 10,High,FTP,6831,system,App Crash,267,233,/tmp/malware.bin,malware.exe,None,0
iPhone,iOS 15.0,High,HTTP,1414,system,File Access,841,542,/var/log/syslog,malware.exe,None,1
Android,Android 11,Normal,HTTP,2253,security,Logout,147,362,/home/user/docs/report.docx,explorer.exe,Known Malicious IP,0
Android,Android 10,High,HTTP,3184,system,Logout,313,117,/tmp/malware.bin,malware.exe,Known Malicious IP,1
iPhone,Android 11,Low,SSH,2447,security,File Access,579,429,/home/user/docs/report.docx,systemd,Known Malicious IP,1
Android,Android 11,Low,HTTPS,2109,application,System Update,677,695,/home/user/docs/report.docx,explorer.exe,None,1
iPhone,Android 11,High,FTP,4038,system,System Update,43,641,/var/log/syslog,systemd,Pegasus Signature,1
iPhone,Android 10,Low,SSH,2072,application,App Install,908,127,/tmp/malware.bin,systemd,Pegasus Signature,1
iPhone,Android 10,High,HTTP,5615,security,System Update,134,625,/home/user/docs/report.docx,explorer.exe,Known Malicious IP,1
Android,iOS 15.0,Low,SSH,2606,application,App Install,648,984,/home/user/docs/report.docx,malware.exe,Known Malicious IP,1
iPhone,iOS 15.0,Low,SSH,741,system,System Update,281,298,/home/user/docs/report.docx,explorer.exe,Pegasus Signature,1
Android,Android 10,High,SSH,943,security,System Update,84,493,/home/user/docs/report.docx,chrome.exe,Known Malicious IP,1
iPhone,iOS 15.0,Normal,HTTP,4393,system,Login,608,344,/var/log/syslog,systemd,Pegasus Signature,1
iPhone,iOS 15.0,Normal,SSH,6776,application,App Crash,322,879,/tmp/malware.bin,explorer.exe,None,0
iPhone,Android 10,High,HTTPS,4490,application,Logout,760,920,/home/user/docs/report.docx,chrome.exe,Known Malicious IP,1
iPhone,Android 10,Low,SSH,5594,system,File Access,642,697,/home/user/docs/report.docx,malware.exe,Known Malicious IP,1
iPhone,Android 10,Normal,HTTPS,1166,system,Logout,358,824,/home/user/docs/report.docx,chrome.exe,None,1
Android,iOS 14.6,High,HTTP,7877,system,App Crash,14,336,/tmp/malware.bin,chrome.exe,None,1
iPhone,Android 10,High,HTTPS,2923,application,Login,225,927,/tmp/malware.bin,explorer.exe,None,1
Android,iOS 15.0,Normal,SSH,4788,security,Logout,48,754,/var/log/syslog,chrome.exe,None,1
Android,iOS 15.0,Low,FTP,5081,system,File Access,997,725,/tmp/malware.bin,explorer.exe,Known Malicious IP,1
Android,Android 11,Normal,SSH,1041,system,File Access,473,425,/var/log/syslog,explorer.exe,None,0
iPhone,iOS 15.0,High,SSH,9203,security,Login,659,770,/tmp/malware.bin,malware.exe,None,1
iPhone,Android 11,Low,SSH,212,security,System Update,627,647,/tmp/malware.bin,systemd,Pegasus Signature,1
iPhone,iOS 15.0,High,HTTPS,2665,security,App Crash,913,676,/var/log/syslog,systemd,Known Malicious IP,1
iPhone,iOS 15.0,Low,FTP,1324,system,App Crash,62,101,/var/log/syslog,systemd,Known Malicious IP,1
Android,iOS 14.6,Normal,FTP,2360,security,Logout,478,829,/home/user/docs/report.docx,explorer.exe,Pegasus Signature,1
Android,iOS 15.0,Low,HTTP,5987,system,System Update,562,153,/var/log/syslog,explorer.exe,Pegasus Signature,0
iPhone,Android 10,High,SSH,3692,application,Logout,639,306,/var/log/syslog,chrome.exe,Known Malicious IP,1
Android,Android 11,Normal,SSH,4937,application,App Install,618,784,/var/log/syslog,systemd,Pegasus Signature,1
Android,Android 11,Low,HTTPS,8280,system,System Update,90,444,/tmp/malware.bin,explorer.exe,Pegasus Signature,1
iPhone,Android 10,Low,HTTPS,1176,application,Logout,980,590,/tmp/malware.bin,systemd,Pegasus Signature,1
Android,iOS 14.6,High,HTTPS,7192,application,App Install,460,625,/tmp/malware.bin,explorer.exe,Known Malicious IP,1
Android,Android 11,Low,HTTP,5392,system,Login,154,912,/var/log/syslog,chrome.exe,Pegasus Signature,0
iPhone,Android 11,Low,HTTPS,7631,security,App Install,558,543,/var/log/syslog,chrome.exe,Known Malicious IP,1
Android,Android 10,Normal,FTP,3201,system,Login,890,732,/var/log/syslog,explorer.exe,Known Malicious IP,1
iPhone,Android 10,High,FTP,2159,security,System Update,227,597,/home/user/docs/report.docx,explorer.exe,None,0
iPhone,Android 10,Normal,HTTPS,3267,application,App Install,83,557,/home/user/docs/report.docx,malware.exe,Known Malicious IP,1
iPhone,Android 10,High,HTTPS,4593,security,App Crash,867,364,/home/user/docs/report.docx,systemd,None,1
Android,iOS 14.6,Normal,HTTPS,6221,system,System Update,909,655,/tmp/malware.bin,systemd,Pegasus Signature,1
iPhone,iOS 14.6,Low,SSH,5497,application,Logout,647,575,/home/user/docs/report.docx,chrome.exe,None,1
iPhone,Android 11,Low,HTTP,1497,application,App Install,321,403,/var/log/syslog,explorer.exe,Known Malicious IP,1
Android,iOS 15.0,Normal,FTP,8037,application,Logout,557,488,/home/user/docs/report.docx,systemd,Known Malicious IP,1
Android,Android 11,High,FTP,6379,security,App Crash,454,583,/home/user/docs/report.docx,malware.exe,Pegasus Signature,1
iPhone,iOS 15.0,High,HTTPS,8537,system,Logout,247,430,/var/log/syslog,systemd,None,1
iPhone,Android 10,Normal,HTTPS,8251,system,App Install,621,756,/tmp/malware.bin,explorer.exe,None,1
iPhone,iOS 14.6,Low,FTP,2082,application,App Crash,130,939,/home/user/docs/report.docx,chrome.exe,Pegasus Signature,1
Android,iOS 15.0,Normal,SSH,9458,application,App Crash,292,196,/var/log/syslog,systemd,Known Malicious IP,0
iPhone,iOS 15.0,High,FTP,5227,application,App Crash,464,396,/var/log/syslog,systemd,None,1
Android,iOS 14.6,Normal,SSH,8594,security,Logout,301,260,/home/user/docs/report.docx,systemd,Pegasus Signature,0
iPhone,Android 11,Low,FTP,5192,security,System Update,263,358,/var/log/syslog,malware.exe,Known Malicious IP,0
Android,iOS 14.6,High,FTP,662,security,App Install,291,810,/home/user/docs/report.docx,explorer.exe,Pegasus Signature,0
iPhone,Android 11,Low,FTP,6346,security,System Update,949,544,/var/log/syslog,systemd,Pegasus Signature,0
Android,iOS 15.0,Normal,FTP,2344,security,Logout,672,292,/tmp/malware.bin,systemd,Pegasus Signature,1
iPhone,Android 10,Low,HTTPS,9832,application,File Access,660,241,/home/user/docs/report.docx,explorer.exe,Pegasus Signature,1
iPhone,Android 11,Low,SSH,2866,security,System Update,919,474,/home/user/docs/report.docx,explorer.exe,Known Malicious IP,0
iPhone,iOS 15.0,Normal,FTP,1145,application,System Update,158,325,/tmp/malware.bin,chrome.exe,None,0
Android,Android 10,High,HTTPS,6693,security,Login,561,787,/tmp/malware.bin,explorer.exe,Known Malicious IP,1
Android,iOS 14.6,Low,SSH,6433,security,System Update,21,628,/tmp/malware.bin,chrome.exe,Known Malicious IP,1
iPhone,Android 11,Normal,HTTPS,4889,security,File Access,533,365,/home/user/docs/report.docx,malware.exe,Known Malicious IP,1
Android,iOS 14.6,Normal,FTP,791,security,File Access,365,370,/home/user/docs/report.docx,chrome.exe,Known Malicious IP,1
iPhone,iOS 15.0,Low,FTP,7781,application,File Access,807,517,/tmp/malware.bin,explorer.exe,Known Malicious IP,1
Android,iOS 14.6,Low,SSH,5765,security,Logout,954,569,/home/user/docs/report.docx,malware.exe,Pegasus Signature,0
iPhone,iOS 15.0,Normal,SSH,3271,application,Login,81,451,/home/user/docs/report.docx,explorer.exe,Known Malicious IP,1
iPhone,Android 10,Low,FTP,2441,security,Login,288,763,/home/user/docs/report.docx,explorer.exe,None,1
iPhone,iOS 14.6,High,HTTPS,5125,application,Logout,932,723,/home/user/docs/report.docx,explorer.exe,None,1
Android,Android 10,High,FTP,1147,security,App Install,643,379,/var/log/syslog,systemd,Known Malicious IP,1
iPhone,Android 10,Low,HTTPS,3787,security,Logout,556,423,/tmp/malware.bin,explorer.exe,Pegasus Signature,1
iPhone,iOS 15.0,Normal,FTP,3252,security,File Access,123,815,/tmp/malware.bin,systemd,Pegasus Signature,1
Android,Android 11,Normal,FTP,8556,security,App Install,124,103,/home/user/docs/report.docx,malware.exe,Pegasus Signature,1
Android,Android 10,Normal,SSH,5052,security,Login,271,608,/tmp/malware.bin,explorer.exe,Known Malicious IP,1
Android,iOS 15.0,High,FTP,3780,system,System Update,864,522,/tmp/malware.bin,explorer.exe,Pegasus Signature,0
iPhone,iOS 14.6,Low,HTTP,9798,system,Login,749,266,/tmp/malware.bin,malware.exe,Pegasus Signature,1
iPhone,iOS 15.0,High,HTTPS,521,system,App Crash,73,802,/tmp/malware.bin,chrome.exe,Pegasus Signature,1
Android,Android 10,High,SSH,8039,security,Login,187,892,/var/log/syslog,systemd,Pegasus Signature,1
iPhone,Android 10,High,FTP,8065,security,File Access,204,763,/var/log/syslog,chrome.exe,None,1
iPhone,Android 10,Low,HTTP,458,application,App Crash,753,508,/var/log/syslog,systemd,None,1
Android,iOS 15.0,Low,FTP,729,system,Login,620,856,/home/user/docs/report.docx,chrome.exe,Known Malicious IP,0
Android,iOS 14.6,High,SSH,5265,system,System Update,989,395,/tmp/malware.bin,explorer.exe,Known Malicious IP,1
Android,Android 11,Normal,FTP,4825,application,App Install,171,836,/tmp/malware.bin,systemd,Known Malicious IP,1
Android,Android 10,Normal,HTTPS,609,system,Login,889,257,/tmp/malware.bin,malware.exe,None,0
Android,iOS 15.0,High,FTP,8526,application,App Install,690,863,/home/user/docs/report.docx,chrome.exe,Known Malicious IP,1
iPhone,Android 10,Low,HTTP,773,system,App Crash,556,577,/tmp/malware.bin,chrome.exe,Pegasus Signature,0
Android,Android 10,Low,HTTPS,2444,security,Login,785,518,/home/user/docs/report.docx,explorer.exe,Pegasus Signature,1
iPhone,iOS 14.6,Low,HTTPS,4517,security,App Crash,398,529,/var/log/syslog,explorer.exe,None,1
Android,iOS 15.0,Low,HTTP,3639,security,Login,762,245,/home/user/docs/report.docx,systemd,Pegasus Signature,1
Android,Android 10,Low,FTP,6243,security,App Crash,303,371,/tmp/malware.bin,chrome.exe,None,1
Android,iOS 14.6,Low,HTTP,9793,system,Login,237,148,/var/log/syslog,malware.exe,Pegasus Signature,0
iPhone,Android 10,Normal,HTTPS,7850,application,Login,859,969,/home/user/docs/report.docx,systemd,None,1
Android,Android 11,Low,SSH,9578,security,App Install,148,423,/tmp/malware.bin,explorer.exe,None,1
iPhone,Android 11,Low,FTP,3287,application,App Crash,767,782,/home/user/docs/report.docx,chrome.exe,Pegasus Signature,1
Android,Android 11,High,FTP,3975,security,Login,839,291,/var/log/syslog,explorer.exe,Pegasus Signature,1
iPhone,Android 11,High,FTP,6777,system,App Crash,58,434,/home/user/docs/report.docx,malware.exe,Known Malicious IP,1
Android,iOS 14.6,Normal,SSH,7801,application,Logout,656,240,/home/user/docs/report.docx,chrome.exe,Pegasus Signature,1
Android,Android 11,Normal,FTP,635,security,Logout,374,395,/home/user/docs/report.docx,explorer.exe,Pegasus Signature,1
iPhone,iOS 14.6,High,HTTPS,5357,security,App Crash,675,128,/var/log/syslog,systemd,Pegasus Signature,0
iPhone,Android 11,Low,HTTP,6456,application,App Install,659,978,/var/log/syslog,systemd,Known Malicious IP,1
Android,iOS 14.6,Low,SSH,6841,security,System Update,444,151,/home/user/docs/report.docx,chrome.exe,Pegasus Signature,1
Android,iOS 15.0,High,HTTP,2064,system,Login,716,842,/var/log/syslog,systemd,Pegasus Signature,0
iPhone,iOS 15.0,Low,FTP,2712,system,App Crash,759,282,/tmp/malware.bin,chrome.exe,Known Malicious IP,0
iPhone,iOS 14.6,Low,SSH,3847,system,App Install,570,922,/var/log/syslog,chrome.exe,Pegasus Signature,1
iPhone,iOS 14.6,Low,HTTP,9712,application,System Update,184,258,/var/log/syslog,systemd,Pegasus Signature,1
Android,iOS 14.6,Normal,HTTP,4195,system,App Install,262,882,/tmp/malware.bin,chrome.exe,None,0
iPhone,iOS 15.0,Normal,FTP,7124,application,App Crash,251,933,/tmp/malware.bin,malware.exe,Pegasus Signature,1
Android,Android 11,Low,FTP,1552,system,Logout,319,962,/tmp/malware.bin,systemd,None,1
iPhone,iOS 14.6,High,HTTP,2798,security,App Crash,858,827,/var/log/syslog,chrome.exe,Pegasus Signature,0
iPhone,Android 10,High,FTP,4572,application,File Access,837,225,/home/user/docs/report.docx,malware.exe,None,1
Android,iOS 15.0,High,HTTP,7145,application,System Update,346,911,/var/log/syslog,malware.exe,None,1
iPhone,iOS 15.0,Low,FTP,3663,system,Logout,664,911,/home/user/docs/report.docx,chrome.exe,None,1
iPhone,Android 11,Low,FTP,7766,security,Logout,848,133,/var/log/syslog,systemd,None,1
iPhone,Android 10,Low,FTP,741,system,Login,482,193,/var/log/syslog,chrome.exe,Pegasus Signature,0
iPhone,iOS 15.0,Normal,HTTP,1776,application,App Crash,820,739,/home/user/docs/report.docx,explorer.exe,Known Malicious IP,1
Android,iOS 15.0,Normal,HTTP,2592,security,System Update,64,889,/var/log/syslog,systemd,Pegasus Signature,1
iPhone,iOS 15.0,High,HTTPS,7795,security,Login,793,247,/home/user/docs/report.docx,malware.exe,None,1
iPhone,Android 10,Low,HTTP,8418,security,File Access,894,674,/tmp/malware.bin,malware.exe,Known Malicious IP,1
Android,iOS 14.6,High,FTP,7996,system,Login,265,461,/var/log/syslog,explorer.exe,Pegasus Signature,0
iPhone,iOS 15.0,Normal,SSH,5198,system,File Access,713,123,/tmp/malware.bin,systemd,None,1
Android,Android 10,High,HTTPS,9808,system,App Install,930,468,/tmp/malware.bin,explorer.exe,Pegasus Signature,1
iPhone,Android 11,Low,HTTP,8149,system,File Access,779,463,/tmp/malware.bin,chrome.exe,Pegasus Signature,1
iPhone,Android 10,High,FTP,5307,application,Login,664,667,/home/user/docs/report.docx,malware.exe,None,1
Android,Android 10,Low,SSH,9375,application,System Update,945,731,/var/log/syslog,chrome.exe,Pegasus Signature,1
iPhone,iOS 14.6,Normal,HTTP,7447,security,Login,757,849,/tmp/malware.bin,chrome.exe,Pegasus Signature,1
Android,Android 10,Normal,HTTPS,3151,system,Logout,564,873,/var/log/syslog,systemd,Pegasus Signature,1
Android,iOS 15.0,Low,SSH,2918,system,System Update,535,559,/tmp/malware.bin,explorer.exe,Pegasus Signature,1
iPhone,iOS 15.0,Normal,HTTP,3978,application,App Install,453,245,/home/user/docs/report.docx,chrome.exe,Pegasus Signature,0
iPhone,iOS 15.0,Low,HTTPS,908,application,System Update,441,373,/home/user/docs/report.docx,explorer.exe,Known Malicious IP,1
iPhone,Android 11,Low,FTP,9051,security,Login,326,376,/var/log/syslog,chrome.exe,None,1
iPhone,Android 10,Normal,HTTPS,2967,system,Login,889,665,/home/user/docs/report.docx,systemd,Known Malicious IP,1
Android,Android 11,Normal,HTTP,2138,application,App Install,451,687,/var/log/syslog,explorer.exe,None,1
iPhone,Android 10,Low,SSH,5686,system,File Access,715,427,/var/log/syslog,explorer.exe,Pegasus Signature,0
Android,iOS 14.6,Low,HTTPS,5368,application,File Access,246,850,/home/user/docs/report.docx,explorer.exe,None,1
Android,Android 10,Normal,FTP,2094,application,Logout,498,737,/tmp/malware.bin,malware.exe,Known Malicious IP,1
iPhone,iOS 14.6,High,FTP,8013,security,App Crash,801,888,/tmp/malware.bin,malware.exe,Pegasus Signature,1
Android,iOS 15.0,Normal,FTP,255,system,Logout,792,963,/var/log/syslog,explorer.exe,None,1
iPhone,iOS 14.6,Low,SSH,9187,system,System Update,51,176,/tmp/malware.bin,systemd,None,1
iPhone,Android 10,Normal,SSH,348,security,System Update,851,923,/tmp/malware.bin,malware.exe,Pegasus Signature,1
Android,Android 11,High,SSH,1307,system,Login,694,743,/home/user/docs/report.docx,explorer.exe,Known Malicious IP,0
iPhone,iOS 14.6,High,SSH,2086,security,Logout,62,539,/home/user/docs/report.docx,systemd,Known Malicious IP,1
Android,Android 11,Normal,HTTP,7333,application,Logout,487,699,/home/user/docs/report.docx,explorer.exe,Pegasus Signature,1
iPhone,iOS 15.0,Normal,SSH,3042,application,App Install,239,480,/tmp/malware.bin,systemd,Pegasus Signature,1
Android,iOS 14.6,Normal,SSH,2608,security,System Update,128,213,/var/log/syslog,malware.exe,Known Malicious IP,1
Android,iOS 15.0,Low,FTP,2550,security,Login,960,255,/var/log/syslog,chrome.exe,Pegasus Signature,1
Android,iOS 14.6,Low,HTTPS,3153,security,Logout,691,164,/var/log/syslog,systemd,Known Malicious IP,1
Android,iOS 14.6,High,HTTP,2082,system,Logout,287,566,/tmp/malware.bin,explorer.exe,Known Malicious IP,1
Android,iOS 15.0,Normal,HTTP,7424,security,App Install,226,122,/tmp/malware.bin,systemd,Known Malicious IP,0
Android,Android 11,Low,SSH,5279,system,App Install,951,686,/var/log/syslog,malware.exe,Pegasus Signature,1
iPhone,iOS 15.0,High,SSH,7711,application,App Crash,357,634,/tmp/malware.bin,malware.exe,None,1
Android,iOS 15.0,Normal,SSH,9589,system,App Crash,65,641,/tmp/malware.bin,chrome.exe,Pegasus Signature,0
iPhone,iOS 15.0,Low,SSH,1501,security,System Update,358,640,/var/log/syslog,chrome.exe,None,1
Android,Android 11,Low,SSH,425,security,Logout,942,351,/var/log/syslog,explorer.exe,Pegasus Signature,1
iPhone,iOS 14.6,Normal,HTTP,2613,system,File Access,721,783,/var/log/syslog,malware.exe,None,1
iPhone,iOS 14.6,Normal,HTTP,7267,application,Logout,436,372,/tmp/malware.bin,explorer.exe,Known Malicious IP,1
Android,Android 10,High,HTTP,5467,system,App Crash,735,428,/tmp/malware.bin,systemd,Pegasus Signature,1
iPhone,Android 11,High,HTTPS,6971,system,System Update,252,214,/tmp/malware.bin,explorer.exe,Pegasus Signature,1
Android,iOS 15.0,High,SSH,9182,security,App Install,670,289,/home/user/docs/report.docx,malware.exe,Known Malicious IP,1
iPhone,iOS 15.0,Normal,FTP,1203,security,App Install,836,998,/var/log/syslog,systemd,Known Malicious IP,0
iPhone,Android 10,Normal,SSH,4482,application,App Install,224,610,/home/user/docs/report.docx,explorer.exe,Known Malicious IP,1
Android,Android 11,Normal,HTTPS,9894,security,Logout,557,653,/tmp/malware.bin,malware.exe,Pegasus Signature,1
iPhone,Android 10,Normal,HTTP,2490,security,App Crash,322,574,/home/user/docs/report.docx,malware.exe,Known Malicious IP,0
iPhone,Android 11,High,FTP,5017,application,App Crash,52,951,/home/user/docs/report.docx,malware.exe,None,1
Android,iOS 15.0,High,HTTPS,7499,system,System Update,666,598,/tmp/malware.bin,systemd,Known Malicious IP,1
iPhone,iOS 15.0,High,HTTP,8647,application,System Update,119,554,/var/log/syslog,malware.exe,None,1
Android,Android 11,Normal,FTP,5916,system,File Access,113,262,/home/user/docs/report.docx,explorer.exe,Pegasus Signature,0
Android,Android 10,Normal,HTTPS,539,security,Login,217,660,/tmp/malware.bin,chrome.exe,Known Malicious IP,0
iPhone,iOS 15.0,Low,SSH,6347,system,Login,686,487,/var/log/syslog,malware.exe,Pegasus Signature,1
Android,Android 10,Normal,SSH,6297,security,App Crash,356,438,/tmp/malware.bin,explorer.exe,None,1
Android,Android 10,Low,HTTPS,6197,application,App Crash,277,457,/tmp/malware.bin,malware.exe,Known Malicious IP,0
iPhone,Android 10,Normal,HTTPS,7174,application,Login,326,518,/home/user/docs/report.docx,malware.exe,Pegasus Signature,1
Android,Android 10,High,SSH,3301,application,Login,459,652,/home/user/docs/report.docx,chrome.exe,Pegasus Signature,1
iPhone,iOS 14.6,Normal,SSH,9011,security,App Install,126,754,/var/log/syslog,malware.exe,Pegasus Signature,0
Android,Android 11,Low,HTTPS,4381,application,Login,638,639,/home/user/docs/report.docx,systemd,None,1
